"time","timeDate","close","high","low","open","volumefrom","volumeto"
1515888000000,"2018-01-14",2875,2908,2851,2907,5210709.84,14989531499.84
1515891600000,"2018-01-14",2811,2883,2802,2875,5029618.2,14293728646.51
1515895200000,"2018-01-14",2786,2811,2700,2811,6784564.7,18548253307.39
1515898800000,"2018-01-14",2752,2814,2732,2786,5917546.04,16329701084.33
1515902400000,"2018-01-14",2659,2777,2609,2752,6380921.02,17248725325.15
1515906000000,"2018-01-14",2638,2688,2500,2659,7481282.65,19406488232
1515909600000,"2018-01-14",2653,2778,2638,2638,8497808.14,22928396954.72
1515913200000,"2018-01-14",2640,2657,2579,2653,7907572.57,20792450862.36
1515916800000,"2018-01-14",2652,2729,2633,2640,8296298.6,22204939352.33
1515920400000,"2018-01-14",2665,2680,2624,2652,8446212.47,22405131654.8
1515924000000,"2018-01-14",2636,2692,2616,2665,6360149.03,16902292378.12
1515927600000,"2018-01-14",2617,2645,2605,2636,6359105.81,16704896331.66
1515931200000,"2018-01-14",2517,2619,2501,2617,7011597.25,17948215662.07
1515934800000,"2018-01-14",2613,2637,2515,2517,8551867.09,22204510060.53
1515938400000,"2018-01-14",2575,2613,2552,2613,7236669.93,18717462243.91
1515942000000,"2018-01-15",2533,2580,2500,2575,10260625.28,26033605475.85
1515945600000,"2018-01-15",2520,2537,2500,2533,8016460.78,20194805390.2
1515949200000,"2018-01-15",2570,2605,2502,2520,5862445.56,14948447610.03
1515952800000,"2018-01-15",2556,2609,2541,2570,4972204.62,12791716494.74
1515956400000,"2018-01-15",2545,2584,2532,2556,2885229.01,7375819439.78
1515960000000,"2018-01-15",2549,2577,2538,2545,2883287.32,7368071196.38
1515963600000,"2018-01-15",2524,2554,2506,2549,4722696.58,11951745668.44
1515967200000,"2018-01-15",2659,2723,2518,2524,7406884.12,19423442085.36
1515970800000,"2018-01-15",2593,2669,2575,2658,7734871.8,20256081120.83
1515974400000,"2018-01-15",2706,2771,2560,2593,8275236.67,21823862096.27
1515978000000,"2018-01-15",2654,2713,2650,2706,7803178.93,20922219182.24
1515981600000,"2018-01-15",2623,2654,2587,2654,7211587.91,18913004317.61
1515985200000,"2018-01-15",2614,2633,2592,2623,6602340.3,17235041156.12
1515988800000,"2018-01-15",2616,2628,2601,2614,5427084.89,14189016624.12
1515992400000,"2018-01-15",2639,2664,2600,2616,5313708.1,13931858071.06
1515996000000,"2018-01-15",2620,2658,2611,2639,6412174.99,16867308535.01
1515999600000,"2018-01-15",2548,2620,2547,2620,4434198.2,11539411685.12
1516003200000,"2018-01-15",2502,2567,2401,2548,7839465.22,19703344129.51
1516006800000,"2018-01-15",2497,2540,2480,2502,9024330.79,22643157099.52
1516010400000,"2018-01-15",2504,2518,2455,2497,7085616.81,17663585665.14
1516014000000,"2018-01-15",2500,2507,2466,2504,5432118.15,13517976716.37
1516017600000,"2018-01-15",2562,2563,2463,2500,5536979.81,13789665671.69
1516021200000,"2018-01-15",2495,2562,2490,2562,6203976.97,15552060459.04
1516024800000,"2018-01-15",2494,2533,2491,2495,5556633.4,13907099606.87
1516028400000,"2018-01-16",2508,2522,2493,2494,4416807.41,11053688607.64
1516032000000,"2018-01-16",2503,2530,2501,2508,3729723.17,9366931721.54
1516035600000,"2018-01-16",2502,2530,2500,2503,2458333.58,6164556423.21
1516039200000,"2018-01-16",2500,2504,2485,2502,2252193.68,5616636281.7
1516042800000,"2018-01-16",2482,2503,2474,2500,3007451.96,7471050547.97
1516046400000,"2018-01-16",2464,2497,2463,2482,2381212.82,5909127920.33
1516050000000,"2018-01-16",2467,2480,2450,2464,4505259.14,11092034825.49
1516053600000,"2018-01-16",2338,2472,2321,2467,6301600.09,15138724435.83
1516057200000,"2018-01-16",2340,2372,2205,2338,9926280.55,22729191717.11
1516060800000,"2018-01-16",2133,2350,2002,2340,11568008.98,25009155421.27
1516064400000,"2018-01-16",2209,2246,2067,2133,11556122.49,24972263705.47
1516068000000,"2018-01-16",2271,2289,2165,2213,11798035.67,26093839486.99
1516071600000,"2018-01-16",2250,2377,2232,2271,12029751.95,27477075724.1
1516075200000,"2018-01-16",2163,2251,2160,2250,11103303.76,24468989165.97
1516078800000,"2018-01-16",2119,2175,2060,2163,10680898.07,22690165428.46
1516082400000,"2018-01-16",2156,2190,2082,2119,12209351.54,26077732540.85
1516086000000,"2018-01-16",2051,2184,2050,2156,11651895.26,24880163152.54
1516089600000,"2018-01-16",1925,2100,1911,2051,9568852.14,19123197212.11
1516093200000,"2018-01-16",1622,1950,1583,1925,10897146.5,19160819078.52
1516096800000,"2018-01-16",1825,1908,1615,1622,14104226.26,25667444218.18
1516100400000,"2018-01-16",1944,1948,1820,1825,13172047.97,24467071829.58
1516104000000,"2018-01-16",1923,2099,1865,1944,13809117.87,26944367977.6
1516107600000,"2018-01-16",1785,1940,1756,1923,13885357.72,25968686052.08
1516111200000,"2018-01-16",1794,1843,1762,1785,14145653.23,25621500444.09
1516114800000,"2018-01-17",1840,1879,1761,1794,13432909.76,24129041745.84
1516118400000,"2018-01-17",1766,1840,1752,1840,14298100.15,25687144425.46
1516122000000,"2018-01-17",1612,1786,1612,1766,12890215.05,21775097524.8
1516125600000,"2018-01-17",1649,1690,1569,1612,15399563.38,25192927303.74
1516129200000,"2018-01-17",1605,1725,1605,1649,15233726.33,25566663978.47
1516132800000,"2018-01-17",1462,1612,1450,1605,12243509.59,18862759327.6
1516136400000,"2018-01-17",1384,1542,1160,1462,16801318.45,22653887597.2
1516140000000,"2018-01-17",1315,1385,1012,1384,16929571.47,20760957502.8
1516143600000,"2018-01-17",1458,1548,1251,1315,15457463.87,21343268242.68
1516147200000,"2018-01-17",1483,1791,1450,1458,14600263.02,22918084919.06
1516150800000,"2018-01-17",1493,1574,1435,1483,16506016.37,25069374814.91
